b'buen profesor esmer ensen tem correspond cas calcul diferencial paricial dificil si dedicacion',,,,,,,
b'buen profesor just calif brind oportun',,,,,,,
b'profesor narvaez excelent profesor entiend bien explic bien clas product dej pregunt facil si pregunt sid repet bastant exigent trabaj moment hac embarg tan dur hor calific tiend ser junts not recom excelent profesor cumpl orden ensen bien si entiend vuelv explic colabor entiend rigur trabaj',,,,,,,
b'sab muchisim tem not gust ensen siempr ensen mas profesor dificil dej alta sol lleg tard clas',,,,,,,
b'buen profesor person desorganiz explic resuelv dud mal organizacion explic estrict norm propi ped',,,,,,,
b'excelent profesor explic bien tod temat curs parcial pregunt ensen clas ejercici examen similar realiz tall calificacion just da material estudi extracl dej trabaj clas parcial complej',,,,,,,
b'part m\xc3\xa0s import form desempen mism conjunt profesor distint asi cas pud evidenci excelent form gui proyect desarroll si quier pas materi alta sol cuestion hac dijer da gran ... da buen gui proyect respond dud respetu valor trabaj alumn just clas individual product vec clar form sac not tiend ser aburridor clas manej junt profesor transcripcion audi proyect bastant tedios final cuent',,,,,,,
b'peor profesor extrict habl vec mal univers integr quic dificil calif dur dab tiemp hac recomend puntual quic dificil calific dur parcial mal gent',,,,,,,
b'buen profesor verd buen opcion sab materi arrib abaj buen pues parcial conjunt mayor problem sab suel ayud intent met terror sal jajajaj',,,,,,,
b'profesor promedi explic necesit aprendizaj autonom ayud calificacion buen gent',,,,,,,
b'facil pas perez demor entreg parcial suel lleg tard esenci clas hac',,,,,,,
b'buen profesor sab bastant mism exigent aprend va acuerd program materi cumpl fech dej qued planch dediquenl tiemp ten repet obten buen not just ello ). busquens buen equip trabaj pil proyect intersemestral final ... disposicion ensen explic resolv dud clas pues dispon horari ello',,,,,,,
b'excelent profesor lleg hor tard clas indispens ir entiend tom asistent estil conoc temat bas ello hac parcial part import trabaj final demand trabaj pid much entreg compromis buen profesor sab trabaj proyect si problem algui',,,,,,,
b'excelent profesor ensen suficient desarroll taller taller aunqu larg pued dej not altas parcial virtual pued dej altos siempr abiert resolv dud ayud estudi resolv problem encuentr taller relaj buen ambient clas parcial virtual taller grupal buen ambient',,,,,,,
"b'clar tem adem experient profesor dad herramient pedagog explic tem resolv problem mod mas sencill rap dic buen ingenier sol hac cos bien sin rap "". adem sobretod profesor ensen mas topic materi exigent imparcial calificacion parcial si pas segur clar dedic tiemp materi general explic tem rap aunqu mal parec mal tres primer parcial tem dad cort coincid tem parcial'",,,,,,,
b'profesor gran domini tem explic tem mas complic usand truc adquir experient explic clar aunqu tem amerit rep libr tambi deb complej recomend pregunt clas oficin si ud algun concept clar especial comienz semestr tem sig much relacion primer ven usa mism sistem punt estat ayud decim final semestr sab truc util analiz problem gran experient',,,,,,,
b'domin tem calif just',,,,,,,
b'mejor profesor explic maner flu clas aburr casi nadi aparec beer explic bien dur just calific regal definit sol aplic aprueb ningun ayud aparec beer va rap senor amor xd',,,,,,,
b'realid mas mal profesor metodologi materi pesim poc clas ensen rest aprend punt sac entreg solucion dud puntual revision plan encim si ve error dej ahi ). inclus aunqu ocasion pued ser ventaj vec pas error aprueb plan realid mal',,,,,,,
b'buen profesor compromet clas excelent parend ensen sal parcial ensen clas adem sistem punt molest pued baj not pues requier ser particip ray lambon pod sac necesari ensen bien parcial just sistem punt val materi cuest egu casi toc rog oportun',,,,,,,
b'buen profesor aunqu principi parezc exigent planch principal letr tecnic rotul traz trabaj maner autonom clas exig realic planch import pid profesor expliqu tem envi informacion hac planch hac ... explic pid ayud final semestr excelent profesor organiz cronogram pued ider exigent si dificult hac planch',,,,,,,
b'profesor maestri bastant imparcial calificacion activ propuest entreg adem mism calific anot sirv retroalimentacion clas laboratori didact amen deb activ sirv adem incent not cuant laboratori hac quic asegur estudi vay prepar hech activ escrit man letr tecnic hoj blanc requier tiemp adem obsolet epoc',,,,,,,
b'buen profesor parcial pregunt exclus dict clas ensen rap facil tem curs vec tan rap facil logr confund parcial simpl ejercici practic vec profesor realiz parcial conjunt asi buen opcion va rap dej trabaj extra clas ayud final semestr decim medi aun facil pierd parcial',,,,,,,
"b'monitor electron basic cas ayud vital laboratori diestr manej protoboard equip electron much pacienci explic uso equip realiz observ util ayud detect error conexion much mas cos tont suel arruin proyect profesor titul pacienci entend total recomend especial si dificultad laboratori amabl esfuerz explic tem form tangibl "".'",,,,,,,
b'amor',,,,,,,
b'profesor introduccion ingenieri quimic mas respons bastant suav not vay ... dic bastant madr aunqu lleg tard clas minut buen oratori mand diaposit charl pendient referent curs mand material estudi lleg tard mand activ dia anterior entreg tard',,,,,,,
b'senor sab explic clas bas ejercici resulev tabler cual sac dud deb llev cuadern hac ejercici semanal ejercici oblig estudi prep parcial cuadern valor import not final ayud cas perd algun parcial explic tranquil cuadern ejercici ayud not hac parcial pues conjunt vec atras tem',,,,,,,
b'preocup estudi aprend siempr abiert cualqui tip pregunt parcial dej taller hac activ calific clas prep bien tambi exigent calific parcial much trayectori docent aunqu si academi',,,,,,,
b'profesor pension bastant experient ambit laboral conferent mayori entreten llam atencion estudi nuev embarg clas docent activ monoton hac falt estudi empiec ser ingenier mecan',,,,,,,
b'profesor not domin perfeccion are clas amen vec va rap repas hac taller qued bien prepar parcial aprend bastant clas amen buen explic buen material moodl negat sum impuntual vec demor hor lleg',,,,,,,
b'clas roncanci devolv dialect antigu rig tens disfrut clas pes explic memori tem perspect post clas pod explic mejor tem estan desactualiz descontextualiz hoy adem pierd dinam relacion alumn profesor minim deb huy finaliz hac chist ton vec misandr vec inoportun perspect vid trist mand recog examen mantien metod calificacion tension trabaj ieee escrit ridicul inofici practic metodologi ensen mejor ejo acud extrem enfoc desafi segu cabal milit instruccion revis parcial anterior crucial deb extremadamnet similar rebaj punt general calif deb ser infortund mas altern eminent deb dej ensen electron control aprend disciplin requier tiemp exigent reflej credit',,,,,,,
b'profesor irma excelent profesor profesional ser human dign departament ingenieri mecan esfuerz dedic materi val pen siempr dese conoc mas exig suficient parcial acord ensen clar dad naturalez materi necesari much memori asoci pnemotecn mejor part radic aprovech proyect final hac bien paut asign hac buen uso laboratori pacienci burocrat laborator metalografi exigent disciplin confianz profesional relacion industri academi conten diaposit suficient apropi falt herramient didact',,,,,,,
b'resistent henry bastant pragmat resolv problem asignatur exigi demasi puntual asistent sesion preocup ensen tem maner mas sencill posibl pes ser gran pedagog atencion clas compromis logic materi obtien buen not parcial equival --> calif just bien diferent estat proyect practic ---> requier manej bien tem realiz program general leer bien obten buen not mas empen not mejor not quiz ---> elimin peor buen prepar parcial tipps repas mec movi ejercici hibbel',,,,,,,
b'profesor estrict centr clar cuant explic si prest atencion adecu qued aprend pregunt parcial explic clas clar si falt algun clas hac cos mand fall parcial ayud final estudi trabaj adicional pierd parcial calif clar concis parcial tem vist',,,,,,,
b'senor ancian divag clas pon vari trabaj hac cas deb hac vari exposicion clas sac not buen profesor aunqu dificil desempen trabaj edad facil pas deb trabaj parend',,,,,,,
b'prof angarit hac clas amen ve pasion experient departament explic buen aunqu larg precis conoc tem ex exigent puntual orden trabaj imparcial calificacion sab materi',,,,,,,
b'sab bastant profesional respond aten aunqu lastim ser magistral pued vay rap pes curs acort tan extens tem teni clav capaz resolv ejercici tall prof tall amor sab explic genial profesional magistral veloc',,,,,,,
b'profesor facil dificil pued dej alta materi clas salon pued volv tedi deb temat curs magistral mayori bastant product bastant exigent respect regl aul puntual flexibl da tan dur moment calific',,,,,,,
b'profesor preocup estudi aprend clas interes didact aprend parcial complej busc ensen estudi mas sol deb temat curs pued pas facil flexibl not clas didact tar facil parcial facil expon si algui gust interactu dem si algui gust',,,,,,,
b'profesor bastant exigent cuant regl pon clas habl puntual forms present trabaj dur calific realid pued dej alta empen aunqu clas tedios salon clas magistral provech manej plataform moodl hac quic sorpres ve mayori prest atencion',,,,,,,
b'term alexand habi regres alemani veni moiv despu unas merec vacacion empez curs maner bell cantid tem acog demasi extens arregl explic mejor posibl person afabl cordial puntual profesional van vicerector investigacion clas motiv obstant parcial dab much tension porcentaj fuert particualr materi error conden tas perd alta dediqu bastant taller mas import dej lad romantic clas magistral unic import exig monitor ejercici alta dificult prepar sol asi aprob prepar line termic personal profesional human diaposit tan homogen enfoqu parcial',,,,,,,
b'explic maner clar metod form realiz plan ejempl piez proyect respond corre solucion dud vec contradic revision plan respect dic ing ricard',,,,,,,
b'profesor interes not dej trabaj taller extens busc estudi aprend tem dad libr requer pas tabler den muestr aprend not ams pareci cualqui cos sac mas posibl nadi casi nadi pierd men flu agres maner ensen',,,,,,,
b'mejor profesor carrer dud algun',,,,,,,
b'inici exigent mientr avanz semestr va mejor actitud pued aprend ser tan exigent ayud mejor trabaj pued sac facil materi si hac dic ayud gui proyect final',,,,,,,
b'buen profesor puntual domin tem',,,,,,,
b'profesor gran ingenier bastant experient docent suel ser bastant dur calificacion gust respond retroaliment siempr encuentr respuest comentari estudi embarg preocup proces busc cos hag bien atiend dud siempr organiz clas organiz explic bien egocentr dur',,,,,,,
b'buen profesor dur soldadur explic bien trat motiv dur hor calific sobretod part practic',,,,,,,
b'explic casi part dud puntual retroalimentacion entreg',,,,,,,
b'explic tem materi evalu tem explic clas curs sig cerc text gui serway ). abiert respond dud clas pued ser tedios aprend bien tem dict laboratori clar practic cuestion trabaj bien preinform explic bien tem clar fech not vec va rap clas magistral',,,,,,,
b'bien profesor manej bien tem manej buen tiemp clas atend dud clas magistral interes aunqu mayori dormi',,,,,,,
b'buen profesor sab tem da entend bien tan dur calific magistral pued volv tedi',,,,,,,
b'buen profesor aunqu principi parezc exigent planch principal letr tecnic rotul traz trabaj maner autonom clas exig realic planch import pid profesor expliqu tem envi informacion hac planch hac ped exposicion exigent hac pregunt complic si logr contest igual pued dej buen not final semestr ayud bastant sub vari not trabaj bien larg semestr sig cronogram pie letr toc ser sup cumpl fech entreg cad planch explic pid ayud final semestr excelent profesor organiz cronogram pued ider exigent si dificult hac planch',,,,,,,
b'metodologi altos baj llev sen hac practic mejor aprendizaj sen mejor equip vez clas teoric monoton repetit bas diaposit parcial calif dur actitud acept clas clas practic sen parcial tan complej clas teoric monoton',,,,,,,
b'buen profesor sab bastant mism exigent aprend va acuerd program materi cumpl fech dej qued planch dediquenl tiemp ten repet obten buen not just ello ). busquens buen equip trabaj pil proyect intersemestral final haganl anterior equip equip realment equip entreg final baj rest not comienz bastant estrict exigent ve cancel mas final ayud disposicion ensen explic resolv dud clas pues dispon horari ello',,,,,,,
b'opinion mejor profesor dibuj basic ingenieri explic bien just calific',,,,,,,
b'excelent profesor parcial acord da trabaj ser disciplin result ven final',,,,,,,
b'liz kar profesor pais domin bien tem profesional mejor humor mund quiz aja menopausi buen gent propon preocup aprendizaj establec metodologi pbl laboratori englob conten proces manej cati experienc trabaj distint laborator hya curs paralel inyeccion sen adem util desarroll proyect intal primer evit jhon laboratori unal segund equip mas libr mas acces sen ergo requier bastant tiemp trabaj equip fuert val pen',,,,,,,
b'part m\xc3\xa0s import form desempen mism conjunt profesor distint asi cas pud evidenci excelent form gui proyect desarroll si quier pas materi alta sol cuestion hac dijer da gran pes presentacion trabaj buen ider necesit semestr posterior da buen gui proyect respond dud respetu valor trabaj alumn just clas individual product vec clar form sac not tiend ser aburridor clas manej junt profesor transcripcion audi proyect bastant tedios final cuent',,,,,,,
b'buen profesor materi requier trabaj extracl poc trabaj dej cas si cas ver vide leer algun text cort tod not sac clas proyect final demand tiemp profesor preocup estudi aprend mas not flexibl mism trabaj clas tod not sac clas busc incentiv moral sol hag copi molest',,,,,,,
b'bastant exigent presentacion trabaj inici trat comprend activ general materi requier mas tiemp empen clas final mayori material dej investig hac exposicion clas finaliz semestr mas tranquil calific pareci buen profesor adem amabl escuch opinion estudi explic maner brev calif suav just parec falt siempr primer clas semestr',,,,,,,
b'profesor preocup salud estudi not quier univers tom molesti volv sac materi deport clas mund si tan buen profesor explic clas leyend diaposit profundiz men par pregunt materi pued dej alta modul profesor tambi pued dej alto sol quinc usual tem pus present ley pued torn aburr clas sol lee diaposit lee entonacion entonc duerm mas facil horari pm tampoc ayud bastant agot horari',,,,,,,
b'sid mejor profesor evident compromis docent curs explic bastant bien exigent deb dedic mas tiemp esper si cuest trabaj equip va ser caotic experient',,,,,,,
b'buen profesor ensen bien aun temat simpl calific suav dab oportun mejor not medi trabaj dur si queri podi dej alta trabaj tan exces final ayud estudi vio trabaj buen person facil pas ensen bien',,,,,,,
b'explic bien dur calific pon brav duerm',,,,,,,
b'habl castill ciert filtr nombr pacienci trabaj grup sacrifici sobretod mayor import autonomi not quej ser tip profesor lleg pid esfer roj ray plan baj moral colect sal tint nunc regres men asi epoc ahor exist monitor referent ciert materi mecan bell aprend dibuj si mism cad aprend error bibli plan esforz maxim evit error asi arranc pestan disen envi model si experient mas grat natural da rabi facil egu buen not ricard practic pon not azar dic not algui empiez proces univers fustrant experient obligatori men vay pro propi cuent tem aun qued anos suficient vigor cans cient millenials mas mejor ejo dar maxim inscrib carg fuert porfavor haganl primer semestr despu incomod desarm algun maquin modelenl inventor cient tutorial youtub igan libr pdf grabensel preguntenl quier ricard responder vec sarcasm vec sincer import aprend filtr material util profesional metodologi planteamient asignatur perd potencial fustracion tension',,,,,,,
b'profesor pas relat facil aprend necesit estudi autonom aprend mas pas not parcial pued hac grup cas apunt embarg met much complej tem estudi prim semestr vec enred pierd adem concentr part histori mas ejercici practic amor import tom apunt segur ayud parcial puntual facil pas dej alta gran manej tem aprend part practic estudi autonom sobreviv futur carrer',,,,,,,
b'senor men mal pension cre ... aburr clas trabaj dej nunc lei regal not sol ud clas abon experient laboral experient vid realment si abre ojos ment frent ingenieri experient laboral aburr clas',,,,,,,
b'materi control profesor esmer estudi comprend concept maner clar repit cos ser necesari embarg diaposit clas suel present error ejercici pued lleg confund si tom mism repas',,,,,,,
b'profesor capaz dar enfoqu correct materi pues materi cre electric dej taller metodologi grup azar ensen bien tem da terc entreg not final semestr',,,,,,,
b'docent mas amabl dibuj basic materi general sup exigent docent flexibl entreg dej charl canson compart bastant material bibliograf pendient estudi flexibl entreg hac charl lamb',,,,,,,
b'magistral bas diaposit hac mayori profesor magistral diaposit sac serway parcial parej gust estudi saqu celul cualqui disposit clas parcial buen dificult estudi bastant vez da opcion sub not',,,,,,,
b'prof ven dict materi aaaaan supuest sab truc tod cag pued lleg comet enfat aclar evit bastant propied tem buen pedagog siempr lleg buen energi clas si ud complement clas par ejercici di ... gran experient dict materi da tips cag parcial sab truc util ocasion tem pued avanz rap',,,,,,,
b'prefer estudi serway ir clas magistral parcial parej similar ejercici serway calif just aunqu vec dur laboratori calif suav',,,,,,,
"b'monitor electron basic cas ayud vital laboratori diestr manej protoboard equip electron much pacienci explic uso equip realiz observ util ayud detect error conexion much mas cos tont suel arruin proy ... amabl esfuerz explic tem form tangibl "".'",,,,,,,
b'profesor estrict centr clar cuant explic si prest atencion adecu qued aprend pregunt parcial explic clas clar si falt algun clas hac cos mand fall parcial ayud final estudi ... clar concis parcial tem vist',,,,,,,
b'profesor regul ensen clas parcial bastant complic calif da proyect baj especif da mism casi adivin quier proyect sac buen not gui hiz aun asi just cuant recl fech realiz tiemp exist protocol orden orden trabaj tiemp acab calif dur parcial respuest mal anul buen',,,,,,,
b'blog diaposit parcial trabaj parej amabl calif bien laboratori cumpl fundament electr magnet sol remit leer diaposit extra serway estrict calificacion',,,,,,,
b'exigent dur calific inici semestr hac much gent cancel ahi adel excelent aprend bastant ayud not pued dej dej present trabaj semestr final pued ser ofens estudi',,,,,,,
b'prof irma excelent docent clas entreten aunqu didact tedios ve conoc materi mejor profesor ver tmb extrem puntual',,,,,,,
b'profesor mendez profesional are pedagog ser human apreci concis permit explor mas fond clas vec monoton llen diaposit parec abrum deb energiz oratori desenvuelv bien laboratori parcial acord explic fundament filosofi vid apropi marc entonc clas didact dinam aprendizaj motivacion veloc tem entreg not',,,,,,,
b'prof ven dict materi aaaaan supuest sab truc tod cag pued lleg comet enfat aclar evit bastant propied tem buen pedagog siempr lleg buen energi clas si ud complement clas par ejercici diari concept clar ), asegur materi pued ir pregunt oficin manan tambi trabaj sistem punt mini quic clas ud pued mir apunt dem si ud pas materi punt gan ayud muchisim definit nunc baj not ciert gran experient dict materi da tips cag parcial sab truc util ocasion tem pued avanz rap',,,,,,
b'si sab quimic sol quier pas alto met si quier aprend met aunqu dic cos interes explic quimic bien ahi sub pap aprend',,,,,,,
b'santiag monitor electron basic >> ver josu roncanci bernal diferent roncanci amabl jov dinam pacient permit esfuerz laboratori realment aunqu practic pued torn fustrant funcion siempr va pas va acompan maner mas profesional da pen pregunt just recib inform gui proyect final orientacion clav depend inter electron eguir mejor result practic jov amabl ayud buen carism',,,,,,,
b'docent mas pacient materi cuent man re exigent relaj laboratori exigent facil pas vec jod fall ser autonom desarroll conten materi clas didact apoy bastant trabaj man cre docent exig asi toc pendient ortografi caligrafi',,,,,,,
b'principi estat henry profesor bastant profesional percib gust tem ingenieri rey pedagogi obstant progres ello fundament teoric normal cambi practic mejor alli deb aprovech import siempr atent tom liger contrari comet error parcial import tan bob castig fuert realment deb ser asi proporcion oportun tratabl recom siempr disposicion trabaj autonom si sol confi clas poc probabil exit',,,,,,,
b'profesor estrict desafortun unic da materi si materi plant estrict casi impos pas ensen esper busqu manual dem recomend inutil ver maquin deber pas senor calif dur ayud hac plan val',,,,,,,
b'profesor estrict regal suav calif fuert recomend algui quier pas materi esfuerz embarg aprend depend monitor clas pued ser buen aprend explic bien sab calif dur regal not',,,,,,,
b'clas magistral pued lleg ser monoton deb limit much vec leer diaposit laboratori amabl agrad si estudi respons parcial dificil parej calif dur amabl estudi clas pued lleg ser aburr',,,,,,,
b'buen si regal not',,,,,,,
b'mal profesor trabaj aunqu exigent dur calificacion ayud final unas not depend curs toc realiz planch perfect fij rotul letr tecnic uso comp empalm etc recom inici adelant planch ten calificacion mejor realiz planch calm hac cre esten bien ten cuid traz dem explic demasi si dic preocup si hac planch clas trabaj autonom',,,,,,,
b'clas magistral labor basic unas diaposit lee much explicacion embarg laboratori explic bien practic demostr part estudi gui amabil laboratori calif bitacor vec semestr deb hac inform cad practic realiz parcial anul gent formul algun tip ayud respetu clas magistral torn aburr trat anim algun comentari relacion tem anecdot propi parcial parej general buen aunqu podri reestructur clas magistral',,,,,,,
b'buen profesor llen conoc siempr dispuest atendert hor habl lent explic cos sencill vez',,,,,,,
b'principi estat henry profesor bastant profesional percib gust tem ingenieri rey pedagogi obstant progres ello fundament teoric normal cambi practic mejor alli deb aprovech import siempr atent tom liger ...',,,,,,,
b'profesor distr lleg tard mayori clas clas teoric mejor aun asi siempr existi dud abiert resolv calific suav compens falt puntual aspect cab agreg vi clas monitor dab mit clas calif suav resuelv dud asi lleg tard molest lleg aun mas tard impuntual entreg not entiend bien explic',,,,,,,
b'profesor dedic buen med alumn correspond siempr alumn lean mand particip clas hac sup dinam aprend adem facil pas da much oportun recompens esfuerz inter disponibil clas trabaj',,,,,,,
b'buen profesor explic bien tem tom trabaj repas estudi aprend embarg vec pued enred dispuest colabor siempr estudi vec parcial pued result confus',,,,,,,
b'profesor mejor encontr larg carrer empen estudi entiend tem desarroll actitud trabaj autonom centr sol estableci program aport conoc util materi futur si lee tem anticipacion facil perd explicacion',,,,,,,
b'aprend clas pues desorden increibl aun pregunt resolveri tall siqu entiend pregunt anecdot acerc anterior trabaj interes ilustr ciert proces iq not bastant experient are laboral desorden da entend bien',,,,,,,
b'profesor cumpl dic program explic deb explic desorganiz empiez clas tempran minut despu hor minut despu parcial dificil tal vez explic suficient present da much ayud bastant sever calific',,,,,,,
b'profesor buen amabl estudi conoc trabaj ocasion pendient estudi va si dud deb esper lleg general siempr dispon resolv dud ayud proyect cad grup comprens entiend situacion estudi',,,,,,,
b'tpi esfuerz ayud desarroll proyect si trabaj facil dej materi alta toc ser concient palabr usar habl esfuerz ayud proyect particip activ pro cositer uso lenguaj comun ide escueler',,,,,,,
b'explic bien irrespetu',,,,,,,
b'buen profesor not expert tem impuls estudi trabaj esforz aprend clas bastant rap toc atent pued perd facil llev cuadern trabaj estudi realiz taller trabaj tar asign cad clas import particip clas resolv cualqui dud tem bastant dificil cantid trabaj asign profesor hac materi pes aprend gran profesor aprend resuelv dud hac pens pes deb ten gran cantid trabaj autonom',,,,,,,
b'aburr clas ensen bien tem tan exigent proyect ayud parcial',,,,,,,
b'buen maestr explic tem concret asi mism evalu lueg parcial pued ir oficin explic cad detall error parec mejor docent materi',,,,,,,
b'man sab sup dad explic',,,,,,,
b'deberi ser mas dinam clas vi materi dej tem encim inclusiv conclu program propuest limit leer diaposit llev clas',,,,,,,
b'profesor maravill explic deten pacienci inteligent amabl pacienci facil entend',,,,,,,
b'explic bien tem domin disposicion ayud estudi tem comprend just calific evalu parcial',,,,,,,
b'profesor amor :) amabl orden explic bien busc estudi aprend calif tan dur ocasion pued dej bastant trabaj',,,,,,,
b'amabl floj explic senti aprend calif suav prep clas',,,,,,,
b'excelent profesor sab bien habl hech conoc suel divag absolut dic suprem interes ayud afianz conoc teoric impart manej material didact buen materi tambi part practic parcial trivial trabaj si estudi pon tar general seman sencill recomend conoc muchisim tem explic realment bien',,,,,,,
b'excelent profesor siempr amabl not amor carrer adem transmit',,,,,,,
b'quiz mejor profesor departament ingenieri quimic ambiental much experient industri manej tem ningun amabl calid human excepcional siempr dispuest atend dud sab sector product colombian comprend estudi ayud suel lleg tard clas',,,,,,,
b'profesor monoton clas aburr tem explic interes vec confund poquit ... tal vez muchit final siempr encontrab solucion proyect import apreci prof manej bien macr excel si posibl ...',,,,,,,
b'mal profesor verd ve esfuers pon labor simplement hech desorganiz dict tem fofm confus anim cambiant asi ped explicacion aclaracion pued convert insult tem explic profund much vec qued cos val pen si import materi explic parcial facil dej bastabt trabaj sirv desorganiz irrit facil explic realment import',,,,,,,
b'buen profesor not muchis conoc valios realid parec desperdici materi explic pas segu realizacion conceptual proces ing quimic casi sol repit libr si bien ciert dic cos interes aparec libr hac pens realment ingenier cre perfect podri omit modul leer libr profesor hac estudi tom concienci much cos general prest atencion realid not profesor compromet dar sab much cos compromet',,,,,,,
b'mal docent aprend prep clas orden not recom ningun materi !! dict introduccion ingenieri sab camp investig desorden impuntual vec groser',,,,,,,
b'explic mal escueler aunqu da much oportun pas taller val mism parcial extrem facil ejercici parcial tom algun libr si practic pas alta gooding feld reklaitis',,,,,,,
b'opinion mejor profesor ingenieri quimic poc person hac estudi esfuerc aunqu facil ver materi sab explic ningun profesor asi mism parcial',,,,,,,
b'pues sab flu seri nadi si diaposit afortun parcial facil parcial facil sab',,,,,,,
b'sid peor profesor peor departament vi materi primer vez dict clas terribl principi explic lent lleg parcial embuti falt clas cort siguient tan asi si parcial ... parcial injust explic encim',,,,,,,
b'dad flu asignatur decidi impart modular dos primer modul ofrec coleg jorg manriqu mas respect resen asi determin calificacion final impart dos ultim modul cas present prof nelson emple lenguaj comprens ton voz bastant amig pued son inocent embarg adult pens precis explic meticul obstant examen parcial conjunt disen baj influenci profesor estan realment acuerd tem ensen respect grup profesor explic apropi mas tem result exam parcial mas avanz propi curs espectacul ton voz simpati convenient leccion pacient',,,,,,,
b'disen proces quimic bioquim explic bien modul cualqui cos explic form excelent entiend bien trat asoci cos cos vid cotidian ejempl industri verd sab sustent pued pregunt cualqui cos ten ... explic excelent divertidisim amen sab ayud pid si encuentr gust corch impuntual',,,,,,,
b'tip pareci buen profesor habl despaci clas qued dificil manten concentr dic aun asi hac entend just calific amabl dand retroaliment vec molest nimiedad pued exasper trat resolvert dud',,,,,,,
b'profesor buen conoc tem materi general siempr dispuest resolv dud confund facil hac estudi tambi confund vec habl tedios tom tiemp entend dic vec tambi confund habl amabl entend part profesor much ayud cuant not calif dur vec dificil comunicacion',,,,,,,
b'profesor decidi retir ii lueg referent aqui expuest hac part histor metodologi apropi pues insisti dar mir general signific termodinam recogi tantement ejempl analogi curs inclusiv disciplin dej clarid tem si bien edad implic ejempl lenguaj tiemp preterit aun comprens much explic ejempl segu decidi retir',,,,,,,
b'profesor mas dulc buen conoc vid tip profesor preocup mas hech estudi aprend bastant exigent depend empen pong materi ayud requier bastant trabaj autonom val pen complet adelant tem materi ensen ten gust verdader carrer veri tod materi disciplinar si posibl',,,,,,,
b'nachit profesor exces quer principi pued parec seri realid amor aprend bastant dat curios futur ingenier quimic deberi sab trayectori profesional man buenisim escuch mencion men unas veint vec palabr supercrit \xe2\x80\x9d. pront pued sent duerm habl puest ton voz monoton si trabaj facil dej intro alta amor person ciert inter den ide clas esper asim estudi esten inform man entiend valor ven cualqui part pais mejor estudi suel lleg tard voz arrull tal vez pierd par clas da curs guaviar',,,,,,,
b'man tes medi loquit igual re buen onda evalu ensen sup bien',,,,,,,
b'buen profesor explic clar dispuest resolv dud estudi',,,,,,,
b'parec monitor rut colegi bodri profesor jod color piel qued aqui tod vid',,,,,,,
b'much matemat fascin trabaj aunqu da tiemp entreg',,,,,,,
b'explic encim sac libr respond feo estudi',,,,,,,
b'sab esfuerz clas gent entiend horari atencion respond algun pregunt milagr general sac excus ocup horari atencion estableci ensen clar parcial bastant dificil',,,,,,,
b'sid peor profesor peor departament vi materi primer vez dict clas terribl principi explic lent lleg parcial embuti falt clas cort siguient tan asi si parcial muchisim mas dificil habi vist taller trabaj ejercici sup facil recom parcial injust explic encim',,,,,,,
b'profesor promedi lent clas hac ejercici usa comput explic result agot person amabl gracios hac cog apreci vec gracios amabl explic tem profund hac ejercici clas demor calific dand not',,,,,,,
b'prof explic bien vec confus vec gracios clas mas amen asi general aburr tal vez prof sin tem parcial complic men semestr person sac import proyect trat program progr ...',,,,,,,
b'mejor profesor ingenieri quimic explic bien tem vist ocasion intent ir mas alla tem materi preocup estudi aprend',,,,,,,
b'valor trabaj hac si trabaj',,,,,,,
b'clas aburr lent profesor sab dificil',,,,,,,
b'igual companer molest much bob aunqu pas auditori despert person estan dorm vec pued irrit cos val pen hac buen aport present',,,,,,,
b'buen profesor explic tem sup clar ... realment impresion habi dud clas explic organiz tem dej taller much ayud tem alcanz ver tem asi final toc corr segund ley siempr dispuest aclar dud dem hac quic sencill revis apunt bast haci parcial laaaarg bien razon peculi clas etern aburr mas etern explic clar disponibil resolv dud',,,,,,,
b'clas aburr temat comparacion grup ven encim despaci dict hor complet clas vec sol dur minut salon va vec lleg tard direct lleg primer clas pesimooo parcial facil sal ejercici resuelt libr dic cual estudi aburr aprend',,,,,,,
b'buen profesor manej tem excelent pues metodologi general pon disposicion estudi dec pregunt si asi van bien ... etc',,,,,,,
b'disen proces quimic bioquim explic bien modul cualqui cos explic form excelent entiend bien trat asoci cos cos vid cotidian ejempl industri verd sab sustent pued pregunt cualqui cos ten ideracion ... siempr parec mas pued corch sustent explic excelent divertidisim amen sab ayud pid si encuentr gust corch impuntual',,,,,,,
b'profesor explic bien tem explic aprendi verd mit semestr vim casi sol conversion mit si ven materi encim clar alcanz tiemp trabaj clas import mism grup person ejercici sencill parcial cre siempr sac feld entonc si estudi feld teni parcial hech verd val pen ver lleg bien materi sig ensen tem ensen encim',,,,,,,
b'buen profesor demasi pacienci explic tem clas esfuerz pon vari ejempl ayud visualiz cad tem usual ejempl idone cad parcial exigent acord ensen dej trabaj grup muchisim ayud',,,,,,,
b'profesor excelent conoc perfect tem explic form clar isa ve relaci vid laboral cotidian bot ejos bueno util estudi dej ejercici practic lectur aunqu calif parcial vec dificil vec val pen verl explic excelent aprend much mas cos part materi',,,,,,,
b'prof interes van hac estudi siempr pon practic realiz comprens colabor gener buen ambient trabaj',,,,,,,
